Date,Time (UTC),Country,League,Home Team,Away Team,Home Score,Away Score,Pinnacle Home,Pinnacle Draw,Pinnacle Away
2026-06-01,00:00,Chile,Liga De Primera,Palestino,A. Italiano,0,0,1.92,3.75,3.95
2026-06-01,00:00,Uruguay,Segunda Division,Oriental,Tacuarembo,2,0,2.82,2.93,2.62
2026-06-01,10:00,Ukraine,Persha Liga,Ch. Odesa,Metalist Kharkiv,1,0,1.31,3.74,11.95
2026-06-01,10:00,Ukraine,Persha Liga,Inhulets,Livyi Bereg,1,3,5.84,4.02,1.44
2026-06-01,10:00,Ukraine,Persha Liga,UCSA,Nyva Ternopil,3,0,2.50,3.00,2.65
2026-06-01,10:00,Ukraine,Persha Liga,Probiy Horodenka,Prykarpattya,0,3,2.31,3.28,2.68
2026-06-01,10:00,Japan,J2/J3 League - Placement Play Offs,Vanraure,Fukushima Utd,0,1,1.81,3.25,4.58
2026-06-01,10:30,Australia,Victoria Premier League,Bulleen,Port Melbourne Sharks,1,0,1.15,7.76,10.34
2026-06-01,10:30,Australia,Victoria Premier League,Melbourne Victory U21,Melbourne Knights,1,2,2.71,4.57,1.99
2026-06-01,11:00,Norway,Division 3 - Group 5,Tromso 2,Stromsgodset 2,4,1,1.51,4.57,3.85
2026-06-01,12:00,Kenya,Super League,Kisumu All-Stars,Migori,0,0,4.14,3.22,1.78
2026-06-01,13:00,Asia,Asean Championship U19,Indonesia U19,Myanmar U19,3,0,1.13,6.83,13.13
2026-06-01,14:00,Egypt,League Cup - Play Offs,Al Masry,ZED,1,0,1.80,3.20,5.08
2026-06-01,15:00,Iraq,Stars League,Al Naft,Newroz,2,1,2.08,3.34,3.01
2026-06-01,15:00,Iraq,Stars League,Diyala,Duhok,1,0,3.55,3.39,1.87
2026-06-01,16:00,Norway,Division 3 - Group 3,Brann 2,Askoy,7,1,2.09,3.98,2.62
2026-06-01,16:00,Estonia,Esiliiga,Elva,Tartu Welco,0,2,3.69,4.13,1.67
2026-06-01,16:00,Estonia,Esiliiga,Nomme Kalju U21,FC Tallinn,1,3,1.99,4.37,2.63
2026-06-01,16:00,Estonia,Esiliiga B,Levadia U19,Legion,6,0,1.11,9.78,9.16
2026-06-01,16:00,Estonia,Esiliiga B,Tallinna Kalev U21,Tartu Kalev,7,2,2.55,4.44,2.02
2026-06-01,16:00,Estonia,Esiliiga B,Tammeka U21,Parnu JK Vaprus U21,3,2,1.45,5.34,4.25
2026-06-01,16:00,World,Friendly International,Bulgaria,Montenegro,0,1,2.72,3.12,2.77
2026-06-01,16:00,World,Friendly International,Slovakia,Malta,2,1,1.22,5.91,13.92
2026-06-01,16:00,Peru,Liga 2,Pirata,Llacuabamba,3,1,2.87,3.10,2.27
2026-06-01,16:00,Morocco,Botola Pro,Union Touarga,Kawkab Marrakech,0,0,2.41,3.03,3.01
2026-06-01,16:00,World,Friendly International,Maldives,Afghanistan,0,1,3.23,3.06,2.36
2026-06-01,17:00,Sweden,Division 1 - Södra,Skovde AIK,Jonkoping,1,0,5.64,3.96,1.54
2026-06-01,17:00,World,Friendly International,Norway,Sweden,3,1,1.70,4.04,4.59
2026-06-01,17:00,Egypt,League Cup - Play Offs,Wadi Degla,Enppi,0,1,2.76,2.43,3.45
2026-06-01,17:30,Sweden,Division 1 - Norra,Arlanda,Gefle,2,3,1.78,3.81,3.94
2026-06-01,17:30,World,Friendly International,Turkey,North Macedonia,4,0,1.19,6.94,12.86
2026-06-01,17:30,Romania,Superliga - Relegation,FC Voluntari,FC Hermannstadt,3,0,2.41,3.27,2.91
2026-06-01,17:30,Iraq,Stars League,Al Najaf,Al Zawraa,1,0,6.73,4.59,1.34
2026-06-01,17:30,Iraq,Stars League,Al Talaba,Al Karkh,1,1,1.81,3.46,3.66
2026-06-01,17:30,Luxembourg,Bgl Ligue - Relegation,Jeunesse Canach,Walferdange,1,1,1.77,3.63,4.21
2026-06-01,18:00,Norway,Division 3 - Group 6,Lyn 2,SK Gjovik-Lyn,0,0,2.43,4.09,2.19
2026-06-01,18:00,Brazil,Mineiro U20,Athletic Club U20,Atletico-MG U20,2,1,3.00,3.19,2.15
2026-06-01,18:00,Morocco,Botola Pro,Olympique de Safi,Maghreb Fez,1,2,2.80,2.56,3.02
2026-06-01,18:00,Uruguay,Liga Auf Uruguaya - Torneo Intermedio,Boston River,Liverpool M.,0,1,3.49,3.32,2.17
2026-06-01,18:15,Peru,Liga Women - Apertura,UNSAAC W,Flamengo FBC W,0,0,2.98,3.34,2.10
2026-06-01,18:30,Argentina,Primera B,Argentino de Quilmes,Ituzaingo,2,0,1.79,3.24,4.49
2026-06-01,18:30,Argentina,Primera C,Sportivo Barracas,Atlas,1,0,2.21,2.87,3.23
2026-06-01,18:45,World,Friendly International,Austria,Tunisia,1,0,1.48,4.58,6.20
2026-06-01,19:00,Brazil,Serie D,Atletico-CE,Piaui,0,1,3.89,3.15,1.93
2026-06-01,19:00,Brazil,Serie D,Tirol,Ferroviario,0,0,3.49,2.94,2.15
2026-06-01,19:00,Paraguay,Division Intermedia,Guairena,3 de Noviembre,2,1,2.00,3.39,2.91
2026-06-01,19:15,Iceland,Division 1,Throttur,Grindavik,2,0,1.56,4.66,4.78
2026-06-01,19:15,Iceland,Division 2,KFG Gardabaer,Fjolnir,4,3,5.28,5.43,1.34
2026-06-01,20:00,Morocco,Botola Pro,COD Meknes,Dcheira,2,1,1.99,3.27,3.69
2026-06-01,20:30,Peru,Liga 2,Sport Huancayo 2,Ayacucho,0,0,2.03,3.01,3.48
2026-06-01,22:00,Ecuador,Liga Pro,Leones del Norte,Macara,,,2.97,2.73,2.89
2026-06-01,22:00,Brazil,Serie B,Ponte Preta,Botafogo SP,,,3.74,3.04,2.26
2026-06-01,23:00,Chile,Liga De Ascenso,CD Santa Cruz,Copiapo,,,2.39,3.29,2.81
2026-06-01,23:00,Chile,Liga De Ascenso,Curico Unido,Antofagasta,,,3.01,2.98,2.44
2026-06-01,23:00,Brazil,Serie C - First Stage,Barra FC,Brusque,,,2.20,3.11,3.30
2026-06-01,23:00,Brazil,Serie D,Maguary,Sousa,,,1.78,3.14,4.73
2026-06-01,23:00,World,Friendly International,Colombia,Costa Rica,,,1.10,10.68,20.39
2026-06-01,23:00,Uruguay,Liga Auf Uruguaya - Torneo Intermedio,Penarol,Central Esp.,,,1.53,3.99,6.75
2026-06-01,23:15,Brazil,Serie D,Marcilio Dias,Azuriz,,,1.49,3.56,7.26
2026-06-02,00:00,Bolivia,Division Profesional,Universitario de Vinto,Aurora,,,2.40,3.06,2.77
2026-06-02,00:30,Ecuador,Liga Pro,Tecnico U.,Barcelona SC,,,3.22,3.18,2.35
2026-06-02,00:30,Aruba,Division Di Honor - Relegation,Estrella,Jong Aruba,,,1.20,6.36,7.69
2026-06-03,00:00,World,Friendly International,Haiti,New Zealand,,,2.98,3.31,2.40
