match_id,date,home_team,away_team,home_score,away_score,tournament,neutral,home_conf,away_conf,result
1,1993-01-10,DR Congo,Cameroon,1.0,2.0,FIFA World Cup qualification,False,CAF,CAF,A
2,1993-01-10,Senegal,Algeria,1.0,2.0,African Cup of Nations qualification,False,CAF,CAF,A
3,1993-01-16,South Africa,Nigeria,0.0,0.0,FIFA World Cup qualification,False,CAF,CAF,D
4,1993-01-22,Cameroon,Finland,0.0,0.0,Nehru Cup,True,CAF,UEFA,D
5,1993-01-25,Bolivia,Russia,1.0,2.0,Nehru Cup,True,CONMEBOL,UEFA,A
6,1993-01-28,Cameroon,Finland,2.0,0.0,Nehru Cup,True,CAF,UEFA,H
7,1993-02-24,Portugal,Italy,1.0,3.0,FIFA World Cup qualification,False,UEFA,UEFA,A
8,1993-02-24,Netherlands,Turkey,3.0,1.0,FIFA World Cup qualification,False,UEFA,UEFA,H
9,1993-02-24,Argentina,Denmark,1.0,1.0,CONMEBOL–UEFA Cup of Champions,False,CONMEBOL,UEFA,D
10,1993-02-26,Algeria,Ghana,2.0,1.0,FIFA World Cup qualification,False,CAF,CAF,H
11,1993-02-27,Senegal,Gabon,1.0,0.0,FIFA World Cup qualification,False,CAF,CAF,H
12,1993-02-28,Morocco,Tunisia,0.0,0.0,FIFA World Cup qualification,False,CAF,CAF,D
13,1993-03-01,Cameroon,DR Congo,0.0,0.0,FIFA World Cup qualification,False,CAF,CAF,D
14,1993-03-03,Paraguay,Bolivia,1.0,0.0,Copa Paz del Chaco,False,CONMEBOL,CONMEBOL,H
15,1993-03-05,El Salvador,Costa Rica,0.0,1.0,UNCAF Cup,True,CONCACAF,CONCACAF,A
16,1993-03-05,Honduras,Panama,2.0,0.0,UNCAF Cup,False,CONCACAF,CONCACAF,H
17,1993-03-07,Japan,Hungary,0.0,1.0,Kirin Cup,False,AFC,UEFA,A
18,1993-03-07,El Salvador,Panama,1.0,1.0,UNCAF Cup,True,CONCACAF,CONCACAF,D
19,1993-03-07,Honduras,Costa Rica,2.0,0.0,UNCAF Cup,False,CONCACAF,CONCACAF,H
20,1993-03-09,Costa Rica,Panama,2.0,0.0,UNCAF Cup,True,CONCACAF,CONCACAF,H
21,1993-03-09,Honduras,El Salvador,3.0,0.0,UNCAF Cup,False,CONCACAF,CONCACAF,H
22,1993-03-10,Hungary,United States,0.0,0.0,Kirin Cup,True,UEFA,CONCACAF,D
23,1993-03-14,Japan,United States,3.0,1.0,Kirin Cup,False,AFC,CONCACAF,H
24,1993-03-27,Austria,France,0.0,1.0,FIFA World Cup qualification,False,UEFA,UEFA,A
25,1993-03-31,Wales,Belgium,2.0,0.0,FIFA World Cup qualification,False,UEFA,UEFA,H
26,1993-03-31,Turkey,England,0.0,2.0,FIFA World Cup qualification,False,UEFA,UEFA,A
27,1993-03-31,Switzerland,Portugal,1.0,1.0,FIFA World Cup qualification,False,UEFA,UEFA,D
28,1993-03-31,Denmark,Spain,1.0,0.0,FIFA World Cup qualification,False,UEFA,UEFA,H
29,1993-03-31,Hungary,Greece,0.0,1.0,FIFA World Cup qualification,False,UEFA,UEFA,A
30,1993-04-04,Honduras,Canada,2.0,2.0,FIFA World Cup qualification,False,CONCACAF,CONCACAF,D
31,1993-04-04,El Salvador,Mexico,2.0,1.0,FIFA World Cup qualification,False,CONCACAF,CONCACAF,H
32,1993-04-09,Egypt,Mali,2.0,1.0,African Cup of Nations qualification,False,CAF,CAF,H
33,1993-04-10,Zambia,Zimbabwe,0.0,0.0,African Cup of Nations qualification,False,CAF,CAF,D
34,1993-04-11,Mexico,Honduras,3.0,0.0,FIFA World Cup qualification,False,CONCACAF,CONCACAF,H
35,1993-04-11,Canada,El Salvador,2.0,0.0,FIFA World Cup qualification,False,CONCACAF,CONCACAF,H
36,1993-04-14,Austria,Bulgaria,3.0,1.0,FIFA World Cup qualification,False,UEFA,UEFA,H
37,1993-04-15,Egypt,Zimbabwe,0.0,0.0,FIFA World Cup qualification,True,CAF,CAF,D
38,1993-04-16,Algeria,Ivory Coast,1.0,1.0,FIFA World Cup qualification,False,CAF,CAF,D
39,1993-04-18,Morocco,Senegal,1.0,0.0,FIFA World Cup qualification,False,CAF,CAF,H
40,1993-04-18,Japan,United Arab Emirates,2.0,0.0,FIFA World Cup qualification,False,AFC,AFC,H
41,1993-04-18,Canada,Honduras,3.0,1.0,FIFA World Cup qualification,False,CONCACAF,CONCACAF,H
42,1993-04-18,Mexico,El Salvador,3.0,1.0,FIFA World Cup qualification,False,CONCACAF,CONCACAF,H
43,1993-04-24,South Africa,Zimbabwe,1.0,1.0,African Cup of Nations qualification,False,CAF,CAF,D
44,1993-04-25,Mexico,Canada,4.0,0.0,FIFA World Cup qualification,False,CONCACAF,CONCACAF,H
45,1993-04-25,Morocco,Mali,1.0,0.0,African Cup of Nations qualification,False,CAF,CAF,H
46,1993-04-25,Honduras,El Salvador,2.0,0.0,FIFA World Cup qualification,False,CONCACAF,CONCACAF,H
47,1993-04-25,Cameroon,Gabon,0.0,0.0,African Cup of Nations qualification,False,CAF,CAF,D
48,1993-04-28,Portugal,Scotland,5.0,0.0,FIFA World Cup qualification,False,UEFA,UEFA,H
49,1993-04-28,Russia,Hungary,3.0,0.0,FIFA World Cup qualification,False,UEFA,UEFA,H
50,1993-04-28,England,Netherlands,2.0,2.0,FIFA World Cup qualification,False,UEFA,UEFA,D
51,1993-04-28,Republic of Ireland,Denmark,1.0,1.0,FIFA World Cup qualification,False,UEFA,UEFA,D
52,1993-04-28,France,Sweden,2.0,1.0,FIFA World Cup qualification,False,UEFA,UEFA,H
53,1993-04-28,Bulgaria,Finland,2.0,0.0,FIFA World Cup qualification,False,UEFA,UEFA,H
54,1993-04-28,Norway,Turkey,3.0,1.0,FIFA World Cup qualification,False,UEFA,UEFA,H
55,1993-05-01,Switzerland,Italy,1.0,0.0,FIFA World Cup qualification,False,UEFA,UEFA,H
56,1993-05-02,Honduras,Mexico,1.0,4.0,FIFA World Cup qualification,False,CONCACAF,CONCACAF,A
57,1993-05-02,Ivory Coast,Nigeria,2.0,1.0,FIFA World Cup qualification,False,CAF,CAF,H
58,1993-05-02,El Salvador,Canada,1.0,2.0,FIFA World Cup qualification,False,CONCACAF,CONCACAF,A
59,1993-05-07,United Arab Emirates,Japan,1.0,1.0,FIFA World Cup qualification,False,AFC,AFC,D
60,1993-05-09,Canada,Mexico,1.0,2.0,FIFA World Cup qualification,False,CONCACAF,CONCACAF,A
61,1993-05-09,El Salvador,Honduras,2.0,1.0,FIFA World Cup qualification,False,CONCACAF,CONCACAF,H
