match_id,group,date_utc,date,phase,neutral,venue,tournament,home_team_original,away_team_original,home_team,away_team,H_odds,D_odds,A_odds,market_p_home_mean,market_p_draw_mean,market_p_away_mean,market_favorite_prob,market_underdog_prob,market_home_minus_away,market_draw_gap,market_entropy,has_market_odds,datetime_local,home_team_raw,away_team_raw
1,A,2026-06-11 19:00:00+00:00,2026-06-11,Group,1,"Estadio Azteca, Mexico City",FIFA World Cup,Mexico,South Africa,Mexico,South Africa,1.46,4.5,8.0,0.663594470046083,0.2152995391705069,0.12110599078341014,0.663594470046083,0.12110599078341014,0.5424884792626729,-0.44829493087557604,0.8584359428361442,1,2026-06-11 21:00:00,Mexico,South Africa
2,A,2026-06-12 02:00:00+00:00,2026-06-12,Group,1,"Estadio Akron, Guadalajara",FIFA World Cup,South Korea,UEFA Playoff D,Korea Republic,Czech Republic,2.64,3.25,2.8,0.36295469049138485,0.2948308870453095,0.3422144224633057,0.36295469049138485,0.2948308870453095,0.020740268028079156,-0.06812380344607533,1.09490162864481,1,2026-06-12 04:00:00,South Korea,Czech Republic
3,B,2026-06-12 19:00:00+00:00,2026-06-12,Group,1,"BMO Field, Toronto",FIFA World Cup,Canada,UEFA Playoff A,Canada,Bosnia and Herzegovina,1.84,3.7,4.6,0.527065527065527,0.2621082621082621,0.21082621082621086,0.527065527065527,0.21082621082621086,0.3162393162393161,-0.2649572649572649,1.0167087487504518,1,2026-06-12 21:00:00,Canada,Bosnia & Herzegovina
4,D,2026-06-13 01:00:00+00:00,2026-06-13,Group,1,"SoFi Stadium, Los Angeles",FIFA World Cup,USA,Paraguay,United States,Paraguay,2.04,3.4,3.95,0.472488038277512,0.28349282296650724,0.24401913875598086,0.472488038277512,0.24401913875598086,0.22846889952153115,-0.18899521531100477,1.055797740681365,1,2026-06-13 03:00:00,USA,Paraguay
5,D,2026-06-13 04:00:00+00:00,2026-06-13,Group,1,"BC Place, Vancouver",FIFA World Cup,Australia,UEFA Playoff C,Australia,Turkey,4.5,3.65,1.85,0.21434806761368147,0.2642647408935799,0.5213871914927386,0.5213871914927386,0.21434806761368147,-0.30703912387905713,-0.2571224505991587,1.0213734399253496,1,2026-06-14 06:00:00,Australia,Turkey
6,B,2026-06-13 19:00:00+00:00,2026-06-13,Group,1,"Levi's Stadium, Santa Clara",FIFA World Cup,Qatar,Switzerland,Qatar,Switzerland,14.0,6.4,1.25,0.06950477845351867,0.1520417028670721,0.7784535186794093,0.7784535186794093,0.06950477845351867,-0.7089487402258906,-0.6264118158123372,0.666671129628865,1,2026-06-13 21:00:00,Qatar,Switzerland
7,C,2026-06-13 22:00:00+00:00,2026-06-13,Group,1,"MetLife Stadium, East Rutherford",FIFA World Cup,Brazil,Morocco,Brazil,Morocco,1.63,4.0,5.8,0.592229540001021,0.24133353755041606,0.1664369224485628,0.592229540001021,0.1664369224485628,0.42579261755245823,-0.3508960024506049,0.9517642695258836,1,2026-06-14 00:00:00,Brazil,Morocco
8,C,2026-06-14 01:00:00+00:00,2026-06-14,Group,1,"Gillette Stadium, Boston",FIFA World Cup,Haiti,Scotland,Haiti,Scotland,7.8,4.8,1.46,0.12551042338276383,0.2039544379969912,0.6705351386202449,0.6705351386202449,0.12551042338276383,-0.5450247152374811,-0.46658070062325374,0.8527377806734657,1,2026-06-14 03:00:00,Haiti,Scotland
9,E,2026-06-14 17:00:00+00:00,2026-06-14,Group,1,"NRG Stadium, Houston",FIFA World Cup,Germany,Curaçao,Germany,Curacao,1.04,22.0,50.0,0.9362658314040583,0.04425983930273731,0.019474329293204414,0.9362658314040583,0.019474329293204414,0.9167915021108539,-0.8920059921013209,0.27634920184615097,1,2026-06-14 19:00:00,Germany,Curacao
10,F,2026-06-14 20:00:00+00:00,2026-06-14,Group,1,"AT&T Stadium, Dallas",FIFA World Cup,Netherlands,Japan,Netherlands,Japan,2.06,3.65,3.7,0.47144452977728135,0.26607554283320534,0.26247992738951337,0.47144452977728135,0.26247992738951337,0.20896460238776798,-0.20536898694407602,1.0578699669823557,1,2026-06-14 22:00:00,Netherlands,Japan
11,E,2026-06-14 23:00:00+00:00,2026-06-14,Group,1,"Lincoln Financial Field, Philadelphia",FIFA World Cup,Côte d'Ivoire,Ecuador,Ivory Coast,Ecuador,3.7,3.05,2.34,0.2635524372230428,0.31971935007385527,0.4167282127031019,0.4167282127031019,0.2635524372230428,-0.15317577548005912,-0.09700886262924663,1.0807986336398783,1,2026-06-15 01:00:00,Ivory Coast,Ecuador
12,F,2026-06-15 02:00:00+00:00,2026-06-15,Group,1,"Estadio BBVA, Monterrey",FIFA World Cup,UEFA Playoff B,Tunisia,Sweden,Tunisia,2.0,3.45,4.2,0.486404833836858,0.28197381671701915,0.23162134944612284,0.486404833836858,0.23162134944612284,0.25478348439073517,-0.20443101711983885,1.046302291785437,1,2026-06-15 04:00:00,Sweden,Tunisia
13,H,2026-06-15 16:00:00+00:00,2026-06-15,Group,1,"Mercedes-Benz Stadium, Atlanta",FIFA World Cup,Spain,Cabo Verde,Spain,Cape Verde,1.1,12.5,30.0,0.8891523414344991,0.07824540604623592,0.03260225251926496,0.8891523414344991,0.03260225251926496,0.8565500889152341,-0.8109069353882632,0.41543514442822144,1,2026-06-15 18:00:00,Spain,Cape Verde
14,G,2026-06-15 19:00:00+00:00,2026-06-15,Group,1,"Lumen Field, Seattle",FIFA World Cup,Belgium,Egypt,Belgium,Egypt,1.68,4.0,5.2,0.5736981465136806,0.24095322153574583,0.18534863195057372,0.5736981465136806,0.18534863195057372,0.38834951456310685,-0.33274492497793473,0.9740978555430493,1,2026-06-15 21:00:00,Belgium,Egypt
15,H,2026-06-15 22:00:00+00:00,2026-06-15,Group,1,"Hard Rock Stadium, Miami",FIFA World Cup,Saudi Arabia,Uruguay,Saudi Arabia,Uruguay,7.4,4.5,1.49,0.13139072328584583,0.2160647449589465,0.6525445317552077,0.6525445317552077,0.13139072328584583,-0.5211538084693619,-0.43647978679626115,0.8762729547314856,1,2026-06-16 00:00:00,Saudi Arabia,Uruguay
16,G,2026-06-16 01:00:00+00:00,2026-06-16,Group,1,"SoFi Stadium, Los Angeles",FIFA World Cup,Iran,New Zealand,Iran,New Zealand,1.93,3.45,4.3,0.4979441134513721,0.2785600402785936,0.2234958462700344,0.4979441134513721,0.2234958462700344,0.27444826718133764,-0.21938407317277847,1.0381116168119906,1,2026-06-16 03:00:00,Iran,New Zealand
17,J,2026-06-16 04:00:00+00:00,2026-06-16,Group,1,"Levi's Stadium, Santa Clara",FIFA World Cup,Austria,Jordan,Austria,Jordan,1.33,5.6,9.6,0.7267221801665404,0.17259651778955337,0.10068130204390613,0.7267221801665404,0.10068130204390613,0.6260408781226343,-0.554125662376987,0.7663387098678874,1,2026-06-17 06:00:00,Austria,Jordan
18,I,2026-06-16 19:00:00+00:00,2026-06-16,Group,1,"MetLife Stadium, East Rutherford",FIFA World Cup,France,Senegal,France,Senegal,1.46,4.6,7.4,0.6602017067494181,0.20954228083785886,0.13025601241272303,0.6602017067494181,0.13025601241272303,0.5299456943366951,-0.4506594259115593,0.8670959416767716,1,2026-06-16 21:00:00,France,Senegal
19,I,2026-06-16 22:00:00+00:00,2026-06-16,Group,1,"Gillette Stadium, Boston",FIFA World Cup,FIFA Playoff 2,Norway,Iraq,Norway,14.0,6.8,1.23,0.06924758246125313,0.14256855212610942,0.7881838654126373,0.7881838654126373,0.06924758246125313,-0.7189362829513841,-0.6456153132865279,0.6502161648452511,1,2026-06-17 00:00:00,Iraq,Norway
20,J,2026-06-17 01:00:00+00:00,2026-06-17,Group,1,"GEHA Field at Arrowhead Stadium, Kansas City",FIFA World Cup,Argentina,Algeria,Argentina,Algeria,1.42,4.7,8.3,0.6787889333565339,0.20508091178005916,0.11613015486340698,0.6787889333565339,0.11613015486340698,0.562658778493127,-0.47370802157647474,0.837946792233033,1,2026-06-17 03:00:00,Argentina,Algeria
21,K,2026-06-17 17:00:00+00:00,2026-06-17,Group,1,"NRG Stadium, Houston",FIFA World Cup,Portugal,FIFA Playoff 1,Portugal,DR Congo,1.27,6.2,11.0,0.757407489671716,0.15514637288436764,0.08744613744391631,0.757407489671716,0.08744613744391631,0.6699613522277997,-0.6022611167873484,0.7126290494181805,1,2026-06-17 19:00:00,Portugal,D.R. Congo
22,L,2026-06-17 20:00:00+00:00,2026-06-17,Group,1,"AT&T Stadium, Dallas",FIFA World Cup,England,Croatia,England,Croatia,1.78,3.8,5.0,0.548119086083545,0.25675051927071313,0.195130394645742,0.548119086083545,0.195130394645742,0.352988691437803,-0.29136856681283185,0.9975146033546066,1,2026-06-17 22:00:00,England,Croatia
23,L,2026-06-17 23:00:00+00:00,2026-06-17,Group,1,"BMO Field, Toronto",FIFA World Cup,Ghana,Panama,Ghana,Panama,2.06,3.65,3.75,0.47310025404835565,0.2670100063944144,0.25988973955723005,0.47310025404835565,0.25988973955723005,0.2132105144911256,-0.20609024765394124,1.0568702509324064,1,2026-06-18 01:00:00,Ghana,Panama
24,K,2026-06-18 02:00:00+00:00,2026-06-18,Group,1,"Estadio Azteca, Mexico City",FIFA World Cup,Uzbekistan,Colombia,Uzbekistan,Colombia,8.6,4.7,1.43,0.11307390770369621,0.20690119281952923,0.6800248994767745,0.6800248994767745,0.11307390770369621,-0.5669509917730783,-0.47312370665724524,0.8346796381320822,1,2026-06-18 04:00:00,Uzbekistan,Colombia
25,A,2026-06-18 16:00:00+00:00,2026-06-18,Group,1,"Mercedes-Benz Stadium, Atlanta",FIFA World Cup,UEFA Playoff D,South Africa,Czech Republic,South Africa,2.04,3.3,4.1,0.47264724376441,0.292181932508908,0.23517082372668208,0.47264724376441,0.23517082372668208,0.2374764200377279,-0.18046531125550197,1.0540954503279087,1,2026-06-18 18:00:00,Czech Republic,South Africa
26,B,2026-06-18 19:00:00+00:00,2026-06-18,Group,1,"SoFi Stadium, Los Angeles",FIFA World Cup,Switzerland,UEFA Playoff A,Switzerland,Bosnia and Herzegovina,1.59,4.1,6.0,0.6050320962148602,0.2346343982882019,0.16033350549693795,0.6050320962148602,0.16033350549693795,0.4446985907179223,-0.37039769792665833,0.9376588747362642,1,2026-06-18 21:00:00,Switzerland,Bosnia & Herzegovina
27,B,2026-06-18 22:00:00+00:00,2026-06-18,Group,1,"BC Place, Vancouver",FIFA World Cup,Canada,Qatar,Canada,Qatar,1.34,5.2,11.0,0.7248948142140215,0.18679981750899782,0.08830536827698081,0.7248948142140215,0.08830536827698081,0.6365894459370407,-0.5380949967050237,0.7609299455211676,1,2026-06-19 00:00:00,Canada,Qatar
28,A,2026-06-19 01:00:00+00:00,2026-06-19,Group,1,"Estadio Akron, Guadalajara",FIFA World Cup,Mexico,South Korea,Mexico,Korea Republic,1.82,3.5,4.6,0.522015433499773,0.27144802541988194,0.206536541080345,0.522015433499773,0.206536541080345,0.31547889241942795,-0.25056740807989103,1.0190699446025926,1,2026-06-19 03:00:00,Mexico,South Korea
29,D,2026-06-19 04:00:00+00:00,2026-06-19,Group,1,"Levi's Stadium, Santa Clara",FIFA World Cup,UEFA Playoff C,Paraguay,Turkey,Paraguay,2.25,3.25,3.5,0.4282352941176471,0.29647058823529415,0.27529411764705886,0.4282352941176471,0.27529411764705886,0.15294117647058825,-0.13176470588235295,1.0787360214062982,1,2026-06-20 05:00:00,Turkey,Paraguay
30,D,2026-06-19 19:00:00+00:00,2026-06-19,Group,1,"Lumen Field, Seattle",FIFA World Cup,USA,Australia,United States,Australia,1.79,3.88,4.9,0.5474513507754505,0.2525613190433135,0.19998733018123596,0.5474513507754505,0.19998733018123596,0.34746402059421455,-0.29489003173213696,0.999259206457574,1,2026-06-19 21:00:00,USA,Australia
31,C,2026-06-19 22:00:00+00:00,2026-06-19,Group,1,"Gillette Stadium, Boston",FIFA World Cup,Scotland,Morocco,Scotland,Morocco,3.95,3.3,2.06,0.24304612084376115,0.29091884161601717,0.4660350375402217,0.4660350375402217,0.24304612084376115,-0.22298891669646054,-0.17511619592420452,1.058805570957139,1,2026-06-20 00:00:00,Scotland,Morocco
32,C,2026-06-20 01:00:00+00:00,2026-06-20,Group,1,"Lincoln Financial Field, Philadelphia",FIFA World Cup,Brazil,Haiti,Brazil,Haiti,1.07,14.0,40.0,0.9064715594548222,0.0692803263297614,0.02424811421541649,0.9064715594548222,0.02424811421541649,0.8822234452394057,-0.8371912331250607,0.36415073874284776,1,2026-06-20 02:30:00,Brazil,Haiti
