team,qualification_prob,third_place_qualified_prob,group_rank_1_prob,group_rank_2_prob,group_rank_3_prob,group_rank_4_prob
Argentina,0.9836,0.0444,0.7562,0.183,0.051,0.0098
Spain,0.9804,0.0502,0.6882,0.242,0.0574,0.0124
Switzerland,0.9754,0.0742,0.5976,0.3036,0.0852,0.0136
Brazil,0.9748,0.0992,0.59,0.2856,0.111,0.0134
Germany,0.9736,0.1384,0.4962,0.339,0.1512,0.0136
France,0.969,0.081,0.6462,0.2418,0.0928,0.0192
Ecuador,0.9642,0.1298,0.4032,0.4312,0.154,0.0116
England,0.9564,0.0926,0.5088,0.355,0.108,0.0282
Netherlands,0.9458,0.1026,0.538,0.3052,0.122,0.0348
Croatia,0.9444,0.102,0.4282,0.4142,0.1244,0.0332
Mexico,0.9236,0.1432,0.4976,0.2828,0.1722,0.0474
Uruguay,0.92,0.112,0.261,0.547,0.1504,0.0416
Colombia,0.9166,0.1224,0.4414,0.3528,0.1472,0.0586
Canada,0.9024,0.1322,0.328,0.4422,0.1692,0.0606
Portugal,0.8994,0.1434,0.43,0.326,0.1726,0.0714
Belgium,0.8796,0.161,0.437,0.2816,0.1906,0.0908
Morocco,0.8754,0.167,0.3012,0.4072,0.2248,0.0668
Austria,0.858,0.1556,0.1852,0.5172,0.208,0.0896
Norway,0.8504,0.2234,0.214,0.413,0.301,0.072
Japan,0.8478,0.1416,0.3388,0.3674,0.195,0.0988
Iran,0.8234,0.173,0.3236,0.3268,0.2238,0.1258
Korea Republic,0.8062,0.1912,0.2726,0.3424,0.259,0.126
Turkey,0.7812,0.1838,0.3362,0.2612,0.2328,0.1698
Czech Republic,0.7666,0.2796,0.2,0.287,0.3598,0.1532
Paraguay,0.7516,0.1838,0.3006,0.2672,0.2382,0.194
Scotland,0.682,0.335,0.0978,0.2492,0.4712,0.1818
Egypt,0.668,0.2286,0.18,0.2594,0.3272,0.2334
Australia,0.6648,0.1958,0.2154,0.2536,0.259,0.272
Senegal,0.6554,0.2392,0.1298,0.2864,0.3818,0.202
Ivory Coast,0.6342,0.3268,0.0964,0.211,0.5154,0.1772
Uzbekistan,0.5988,0.2762,0.0984,0.2242,0.418,0.2594
United States,0.5614,0.1956,0.1478,0.218,0.27,0.3642
Panama,0.5208,0.3064,0.0508,0.1636,0.5014,0.2842
Sweden,0.5124,0.2274,0.0854,0.1996,0.3498,0.3652
Algeria,0.481,0.2746,0.0316,0.1748,0.4588,0.3348
Bosnia and Herzegovina,0.4802,0.2476,0.0584,0.1742,0.4352,0.3322
Tunisia,0.3598,0.1942,0.0378,0.1278,0.3332,0.5012
Cape Verde,0.3536,0.2228,0.0274,0.1034,0.4232,0.446
New Zealand,0.352,0.1604,0.0594,0.1322,0.2584,0.55
Saudi Arabia,0.3142,0.1832,0.0234,0.1076,0.369,0.5
Jordan,0.294,0.142,0.027,0.125,0.2822,0.5658
DR Congo,0.275,0.1478,0.0302,0.097,0.2622,0.6106
Qatar,0.244,0.148,0.016,0.08,0.3104,0.5936
South Africa,0.24,0.1224,0.0298,0.0878,0.209,0.6734
Ghana,0.2058,0.1264,0.0122,0.0672,0.2662,0.6544
Iraq,0.1716,0.1028,0.01,0.0588,0.2244,0.7068
Haiti,0.1658,0.0968,0.011,0.058,0.193,0.738
Curacao,0.0954,0.0724,0.0042,0.0188,0.1794,0.7976
